Stock,Date,Open,High,Low,Close,Volume,Adjusted
AMZN,7/7/2020,3058.550049,3069.550049,2990,3000.120117,5257500,3000.120117
AMZN,7/8/2020,3022.610107,3083.969971,3012.429932,3081.110107,5037600,3081.110107
AMZN,7/9/2020,3115.98999,3193.879883,3074,3182.629883,6388700,3182.629883
AMZN,7/10/2020,3191.76001,3215,3135.699951,3200,5486000,3200
AMZN,7/13/2020,3251.060059,3344.290039,3068.389893,3104,7720400,3104
AMZN,7/14/2020,3089,3127.379883,2950,3084,7231900,3084
AMZN,7/15/2020,3080.22998,3098.350098,2973.179932,3008.870117,5788900,3008.870117
AMZN,7/16/2020,2971.060059,3032,2918.22998,2999.899902,6394200,2999.899902
AMZN,7/17/2020,3009,3024,2948.449951,2961.969971,4761300,2961.969971
AMZN,7/20/2020,3000.199951,3201.360107,2994.02002,3196.840088,7598200,3196.840088
AMZN,7/21/2020,3232.48999,3240.580078,3105.719971,3138.290039,6135000,3138.290039
AMZN,7/22/2020,3125,3150,3065.26001,3099.909912,4104200,3099.909912
AMZN,7/23/2020,3098.27002,3098.27002,2970,2986.550049,5656900,2986.550049
AMZN,7/24/2020,2930,3031.580078,2888,3008.909912,5632400,3008.909912
AMZN,7/27/2020,3062,3098,3015.77002,3055.209961,4170500,3055.209961
AMZN,7/28/2020,3054.27002,3077.090088,2995.76001,3000.330078,3126700,3000.330078
AMZN,7/29/2020,3030.98999,3039.159912,2996.77002,3033.530029,2974100,3033.530029
AMZN,7/30/2020,3014,3092,3005,3051.879883,6128300,3051.879883
AMZN,7/31/2020,3244,3246.820068,3151,3164.679932,8085500,3164.679932
AMZN,8/3/2020,3180.51001,3184,3104,3111.889893,5074700,3111.889893
AMZN,8/4/2020,3101.209961,3167.23999,3101.209961,3138.830078,4694300,3138.830078
AMZN,8/5/2020,3143.77002,3213.590088,3127.300049,3205.030029,3930000,3205.030029
AMZN,8/6/2020,3194.360107,3247.469971,3165.429932,3225,3940600,3225
AMZN,8/7/2020,3224.01001,3240.810059,3140.669922,3167.459961,3936100,3167.459961
AMZN,8/10/2020,3170.310059,3172.51001,3101.52002,3148.159912,3167300,3148.159912
AMZN,8/11/2020,3113.199951,3159.219971,3073,3080.669922,3718100,3080.669922
AMZN,8/12/2020,3108,3174.389893,3101.419922,3162.23999,3527200,3162.23999
AMZN,8/13/2020,3182.98999,3217.52002,3155,3161.02002,3149000,3161.02002
AMZN,8/14/2020,3178.179932,3178.23999,3120,3148.02002,2751700,3148.02002
AMZN,8/17/2020,3173.120117,3194.969971,3154.179932,3182.409912,2691200,3182.409912
AMZN,8/18/2020,3212,3320,3205.820068,3312.48999,5346000,3312.48999
AMZN,8/19/2020,3303.01001,3315.899902,3256,3260.47998,4185100,3260.47998
AMZN,8/20/2020,3252,3312.620117,3238,3297.370117,3332500,3297.370117
AMZN,8/21/2020,3295,3314.399902,3275.389893,3284.719971,3575900,3284.719971
AMZN,8/24/2020,3310.149902,3380.320068,3257.560059,3307.459961,4666300,3307.459961
AMZN,8/25/2020,3294.98999,3357.399902,3267,3346.48999,3992800,3346.48999
AMZN,8/26/2020,3351.110107,3451.73999,3344.570068,3441.850098,6508700,3441.850098
AMZN,8/27/2020,3450.050049,3453,3378,3400,4264800,3400
AMZN,8/28/2020,3423,3433.370117,3386.5,3401.800049,2897000,3401.800049
AMZN,8/31/2020,3408.98999,3495,3405,3450.959961,4185900,3450.959961
AMZN,9/1/2020,3489.580078,3513.870117,3467,3499.120117,3476400,3499.120117
AMZN,9/2/2020,3547,3552.25,3486.689941,3531.449951,3931500,3531.449951
AMZN,9/3/2020,3485,3488.409912,3303,3368,8161100,3368
AMZN,9/4/2020,3318,3381.5,3111.129883,3294.620117,8781800,3294.620117
AMZN,9/8/2020,3144,3250.850098,3130,3149.840088,6094200,3149.840088
AMZN,9/9/2020,3202.98999,3303.179932,3185,3268.610107,5188700,3268.610107
AMZN,9/10/2020,3307.219971,3349.889893,3170.550049,3175.110107,5330700,3175.110107
AMZN,9/11/2020,3208.689941,3217.340088,3083.97998,3116.219971,5094000,3116.219971
AMZN,9/14/2020,3172.939941,3187.389893,3096,3102.969971,4529600,3102.969971
AMZN,9/15/2020,3136.159912,3175.02002,3108.919922,3156.129883,4021500,3156.129883
AMZN,9/16/2020,3179.98999,3187.23999,3074.149902,3078.100098,4512200,3078.100098
AMZN,9/17/2020,3009.25,3029.429932,2972.550049,3008.72998,6449100,3008.72998
AMZN,9/18/2020,3031.73999,3037.800049,2905.540039,2954.909912,8892600,2954.909912
AMZN,9/21/2020,2906.5,2962,2871,2960.469971,6117900,2960.469971
AMZN,9/22/2020,3033.840088,3133.98999,3000.199951,3128.98999,6948800,3128.98999
AMZN,9/23/2020,3120.429932,3127,2992.379883,2999.860107,5652700,2999.860107
AMZN,9/24/2020,2977.790039,3069.300049,2965,3019.790039,5529400,3019.790039
AMZN,9/25/2020,3054.860107,3101.540039,2999,3095.129883,4615200,3095.129883
AMZN,9/28/2020,3148.850098,3175.040039,3117.169922,3174.050049,4224200,3174.050049
AMZN,9/29/2020,3175.389893,3188.26001,3132.540039,3144.879883,3495800,3144.879883
AMZN,9/30/2020,3141.139893,3212.879883,3133.98999,3148.72998,4896100,3148.72998
AMZN,10/1/2020,3208,3224,3172,3221.26001,4971900,3221.26001
AMZN,10/2/2020,3153.629883,3195.800049,3123,3125,5613100,3125
AMZN,10/5/2020,3145.840088,3202.530029,3140.850098,3199.199951,3775300,3199.199951
AMZN,10/6/2020,3165,3182,3090,3099.959961,5086900,3099.959961
AMZN,10/7/2020,3135,3200,3132.389893,3195.689941,4309400,3195.689941
AMZN,10/8/2020,3224.98999,3233.290039,3174.98999,3190.550049,3174100,3190.550049
AMZN,10/9/2020,3210,3288.98999,3197.830078,3286.649902,4907900,3286.649902
AMZN,10/12/2020,3349.939941,3496.23999,3339.550049,3442.929932,8364200,3442.929932
AMZN,10/13/2020,3467.98999,3492.379883,3424.219971,3443.629883,5744700,3443.629883
AMZN,10/14/2020,3447,3464.879883,3340,3363.709961,5828900,3363.709961
